metric,sampler,frac,theta1,theta2,sign,p_misrank,n_valid,pair_id,seed1,seed2
assortativity,snowball,0.1,-0.0832056393053956,-0.005032152625836076,-1.0,0.0,150.0,1,202,303
avg_path,snowball,0.1,3.3696401752190237,4.200516270337922,-1.0,0.06,150.0,1,202,303
modularity,snowball,0.1,0.3950076973790429,0.6551569374999999,-1.0,0.0,150.0,1,202,303
clustering,snowball,0.2,0.02360714822045352,0.47077734729206167,-1.0,0.0,150.0,1,202,303
assortativity,snowball,0.2,-0.0832056393053956,-0.005032152625836076,-1.0,0.0,150.0,1,202,303
avg_path,snowball,0.2,3.3696401752190237,4.200516270337922,-1.0,0.0,150.0,1,202,303
modularity,snowball,0.2,0.3950076973790429,0.6551569374999999,-1.0,0.0,150.0,1,202,303
clustering,snowball,0.3,0.02360714822045352,0.47077734729206167,-1.0,0.0,150.0,1,202,303
assortativity,snowball,0.3,-0.0832056393053956,-0.005032152625836076,-1.0,0.0,150.0,1,202,303
avg_path,snowball,0.3,3.3696401752190237,4.200516270337922,-1.0,0.0,150.0,1,202,303
modularity,snowball,0.3,0.3950076973790429,0.6551569374999999,-1.0,0.0,150.0,1,202,303
clustering,degree_weighted,0.05,0.02360714822045352,0.47077734729206167,-1.0,0.5733333333333334,150.0,1,202,303
assortativity,degree_weighted,0.05,-0.0832056393053956,-0.005032152625836076,-1.0,0.14925373134328357,134.0,1,202,303
avg_path,degree_weighted,0.05,3.3696401752190237,4.200516270337922,-1.0,0.9866666666666667,150.0,1,202,303
modularity,degree_weighted,0.05,0.3950076973790429,0.6551569374999999,-1.0,0.006666666666666667,150.0,1,202,303
clustering,degree_weighted,0.1,0.02360714822045352,0.47077734729206167,-1.0,0.02,150.0,1,202,303
assortativity,degree_weighted,0.1,-0.0832056393053956,-0.005032152625836076,-1.0,0.0,150.0,1,202,303
avg_path,degree_weighted,0.1,3.3696401752190237,4.200516270337922,-1.0,0.9266666666666666,150.0,1,202,303
modularity,degree_weighted,0.1,0.3950076973790429,0.6551569374999999,-1.0,0.0,150.0,1,202,303
clustering,degree_weighted,0.2,0.02360714822045352,0.47077734729206167,-1.0,0.0,150.0,1,202,303
assortativity,degree_weighted,0.2,-0.0832056393053956,-0.005032152625836076,-1.0,0.0,150.0,1,202,303
avg_path,degree_weighted,0.2,3.3696401752190237,4.200516270337922,-1.0,0.02,150.0,1,202,303
modularity,degree_weighted,0.2,0.3950076973790429,0.6551569374999999,-1.0,0.0,150.0,1,202,303
clustering,degree_weighted,0.3,0.02360714822045352,0.47077734729206167,-1.0,0.0,150.0,1,202,303
assortativity,degree_weighted,0.3,-0.0832056393053956,-0.005032152625836076,-1.0,0.0,150.0,1,202,303
avg_path,degree_weighted,0.3,3.3696401752190237,4.200516270337922,-1.0,0.0,150.0,1,202,303
modularity,degree_weighted,0.3,0.3950076973790429,0.6551569374999999,-1.0,0.0,150.0,1,202,303
clustering,edge_uniform,0.05,0.02360714822045352,0.47077734729206167,-1.0,0.06666666666666667,150.0,1,202,303
assortativity,edge_uniform,0.05,-0.0832056393053956,-0.005032152625836076,-1.0,0.0,150.0,1,202,303
avg_path,edge_uniform,0.05,3.3696401752190237,4.200516270337922,-1.0,0.9666666666666667,150.0,1,202,303
modularity,edge_uniform,0.05,0.3950076973790429,0.6551569374999999,-1.0,0.013333333333333334,150.0,1,202,303
clustering,edge_uniform,0.1,0.02360714822045352,0.47077734729206167,-1.0,0.0,150.0,1,202,303
assortativity,edge_uniform,0.1,-0.0832056393053956,-0.005032152625836076,-1.0,0.0,150.0,1,202,303
avg_path,edge_uniform,0.1,3.3696401752190237,4.200516270337922,-1.0,0.66,150.0,1,202,303
modularity,edge_uniform,0.1,0.3950076973790429,0.6551569374999999,-1.0,0.0,150.0,1,202,303
clustering,edge_uniform,0.2,0.02360714822045352,0.47077734729206167,-1.0,0.0,150.0,1,202,303
assortativity,edge_uniform,0.2,-0.0832056393053956,-0.005032152625836076,-1.0,0.0,150.0,1,202,303
avg_path,edge_uniform,0.2,3.3696401752190237,4.200516270337922,-1.0,0.0,150.0,1,202,303
modularity,edge_uniform,0.2,0.3950076973790429,0.6551569374999999,-1.0,0.0,150.0,1,202,303
clustering,edge_uniform,0.3,0.02360714822045352,0.47077734729206167,-1.0,0.0,150.0,1,202,303
assortativity,edge_uniform,0.3,-0.0832056393053956,-0.005032152625836076,-1.0,0.0,150.0,1,202,303
avg_path,edge_uniform,0.3,3.3696401752190237,4.200516270337922,-1.0,0.0,150.0,1,202,303
modularity,edge_uniform,0.3,0.3950076973790429,0.6551569374999999,-1.0,0.0,150.0,1,202,303
clustering,random_node,0.05,0.016854585609671045,0.4905644829007004,-1.0,0.5,150.0,2,204,305
assortativity,random_node,0.05,-0.07749951482827531,-0.020658630939912073,-1.0,0.21052631578947367,95.0,2,204,305
avg_path,random_node,0.05,3.4857102628285355,4.303620150187735,-1.0,0.7333333333333333,150.0,2,204,305
modularity,random_node,0.05,0.3889678655196776,0.663583375,-1.0,0.12,150.0,2,204,305
clustering,random_node,0.1,0.016854585609671045,0.4905644829007004,-1.0,0.013333333333333334,150.0,2,204,305
assortativity,random_node,0.1,-0.07749951482827531,-0.020658630939912073,-1.0,0.02666666666666667,150.0,2,204,305
avg_path,random_node,0.1,3.4857102628285355,4.303620150187735,-1.0,0.6,150.0,2,204,305
modularity,random_node,0.1,0.3889678655196776,0.663583375,-1.0,0.02666666666666667,150.0,2,204,305
clustering,random_node,0.2,0.016854585609671045,0.4905644829007004,-1.0,0.0,150.0,2,204,305
assortativity,random_node,0.2,-0.07749951482827531,-0.020658630939912073,-1.0,0.0,150.0,2,204,305
avg_path,random_node,0.2,3.4857102628285355,4.303620150187735,-1.0,0.4266666666666667,150.0,2,204,305
modularity,random_node,0.2,0.3889678655196776,0.663583375,-1.0,0.013333333333333334,150.0,2,204,305
clustering,random_node,0.3,0.016854585609671045,0.4905644829007004,-1.0,0.0,150.0,2,204,305
