metric,sampler,frac,theta,mean_sampled,bias_rel,var_rel,nd,graph_id,graph_seed
modularity,degree_weighted,0.1,0.38664352117876866,0.5438112476976388,0.40649153915258035,0.1704439339357444,0.4407794301213773,0,100
clustering,degree_weighted,0.2,0.020667777492950526,0.07118943202017972,2.4443465291771873,0.5209552059653251,2.499244742181713,0,100
assortativity,degree_weighted,0.2,-0.07871928916884834,-0.10606804366754347,-0.34741684497670444,0.4307800533761581,0.5534165868135261,0,100
avg_path,degree_weighted,0.2,3.38258760951189,3.4541114367283696,0.021144701727946958,0.040069157949902304,0.04530602421287993,0,100
modularity,degree_weighted,0.2,0.38664352117876866,0.498493242783658,0.2892830894483943,0.06867033447120674,0.2973219142229431,0,100
clustering,degree_weighted,0.3,0.020667777492950526,0.05510817632996923,1.6663007209190406,0.18992698592094148,1.6770898462862172,0,100
assortativity,degree_weighted,0.3,-0.07871928916884834,-0.08646922110492049,-0.09844897697783103,0.2507910096422835,0.2694222180618693,0,100
avg_path,degree_weighted,0.3,3.38258760951189,3.4422195741500707,0.01762909165793762,0.018954805429628283,0.025885701102327355,0,100
modularity,degree_weighted,0.3,0.38664352117876866,0.4687039448369963,0.2122373890312705,0.034514279987720144,0.21502545157697403,0,100
clustering,edge_uniform,0.05,0.020667777492950526,0.0852429895978639,3.124287932701291,2.9202366892455807,4.276559061633417,0,100
assortativity,edge_uniform,0.05,-0.07871928916884834,0.09231525985291786,2.1726870013766284,1.5063188614733154,2.6437786061584716,0,100
avg_path,edge_uniform,0.05,3.38258760951189,3.4731071734320187,0.026760441298000724,0.17636365562123563,0.1783823428553105,0,100
modularity,edge_uniform,0.05,0.38664352117876866,0.6361805522297703,0.645391354027815,0.24739268528705266,0.6911824220763974,0,100
clustering,edge_uniform,0.1,0.020667777492950526,0.08627368117432026,3.174155012493886,1.3997063475021105,3.4690687370788376,0,100
assortativity,edge_uniform,0.1,-0.07871928916884834,0.023697652640671835,1.301023445046607,0.7615368644505836,1.5075146435368938,0,100
avg_path,edge_uniform,0.1,3.38258760951189,3.6920200650520205,0.09147800435146088,0.10173157945072434,0.1368120591821676,0,100
modularity,edge_uniform,0.1,0.38664352117876866,0.5536446639815672,0.4319242447653462,0.1414174808112355,0.45448592617936023,0,100
clustering,edge_uniform,0.2,0.020667777492950526,0.06912763618092474,2.344592402937346,0.44513037664484445,2.386473253175803,0,100
assortativity,edge_uniform,0.2,-0.07871928916884834,-0.023892427898909205,0.696476878436513,0.4401197903571959,0.8238843802747636,0,100
avg_path,edge_uniform,0.2,3.38258760951189,3.5552001015255583,0.05102970297016892,0.04238515757829153,0.06633650705426289,0,100
modularity,edge_uniform,0.2,0.38664352117876866,0.49367108496403916,0.27681127734326627,0.06250621554961391,0.28378074326272645,0,100
clustering,edge_uniform,0.3,0.020667777492950526,0.0535807765625067,1.5924018283510848,0.21196588681884693,1.606447359894117,0,100
