metric,sampler,frac,theta_mean,mean_sampled_mean,bias_rel_mean,var_rel_mean,nd_mean,theta_std,mean_sampled_std,bias_rel_std,var_rel_std,nd_std
avg_path,random_node,0.05,3.412968085106383,1.45406138380666,-0.5738778579149828,0.11799386146267757,0.5860676767082166,0.033102789932752195,0.06676901002046694,0.021315568379060255,0.013565682879177336,0.019161498885682447
avg_path,random_node,0.1,3.412968085106383,2.5156652600193135,-0.2628022059363264,0.20308859610573143,0.3325613312714403,0.033102789932752195,0.09262448585571004,0.02973402206067726,0.00906780333838884,0.02464771684138355
avg_path,random_node,0.2,3.412968085106383,4.9583312971972635,0.4526746630528492,0.27795811470777854,0.5316158287651639,0.033102789932752195,0.14809689321916075,0.035223102351838204,0.02482134059372055,0.036143592426027236
avg_path,random_node,0.3,3.412968085106383,5.338734159916167,0.5640766946645218,0.24598513154386886,0.6157041523686375,0.033102789932752195,0.13599725798040194,0.02620287708427951,0.022418714312966798,0.026242874639518958
avg_path,snowball,0.05,3.412968085106383,3.2371776370418424,-0.05155916885973757,0.13736541071570452,0.14807419630116941,0.033102789932752195,0.07884399105952408,0.018017746189145777,0.01897948789787219,0.013671341157939861
avg_path,snowball,0.1,3.412968085106383,3.0291209217537878,-0.11249605427390971,0.09212896975593943,0.14562401206529277,0.033102789932752195,0.06267944917753719,0.014068146022351269,0.00842484235313414,0.013778106112679074
avg_path,snowball,0.2,3.412968085106383,3.0026581761006295,-0.1202555510289676,0.05716907588738529,0.13327671013292308,0.033102789932752195,0.04980591103739383,0.007994663380762386,0.007346559619853696,0.008755611907432407
avg_path,snowball,0.3,3.412968085106383,3.057906624825663,-0.10406871998981596,0.038091897399817026,0.11084434022414527,0.033102789932752195,0.048402219883211216,0.006683367480765394,0.0016849935301782159,0.00640592024757061
clustering,degree_weighted,0.05,0.021920426781107512,0.08625805327151717,2.9423565905669884,3.6089259419144653,4.666679513618634,0.0013589136927481934,0.005591960301306775,0.2766280216223658,0.4729054333905061,0.4243247083159357
clustering,degree_weighted,0.1,0.021920426781107512,0.08763449236221138,3.0006579094079098,1.5795595483156184,3.3980585603015108,0.0013589136927481934,0.007645680561813684,0.31056783631453017,0.16877542499047338,0.25520652606260635
clustering,degree_weighted,0.2,0.021920426781107512,0.06988872766841889,2.1896888559448078,0.5364853555918657,2.2555714211440288,0.0013589136927481934,0.005078178241784417,0.17172772803966943,0.049506366176282346,0.16009536621743561
clustering,degree_weighted,0.3,0.021920426781107512,0.055471656644565395,1.5318693518261506,0.21141534577006685,1.546609793128113,0.0013589136927481934,0.0033719961237410356,0.09044333367318008,0.020241216098742604,0.0879635580767875
clustering,edge_uniform,0.05,0.021920426781107512,0.07836990350295085,2.5772217784738545,2.6351948491870365,3.690405955286276,0.0013589136927481934,0.009186695094070413,0.3980504792113776,0.17147867647161116,0.383254436042991
clustering,edge_uniform,0.1,0.021920426781107512,0.08374435534167057,2.8273453977713014,1.385026658996321,3.155226361172006,0.0013589136927481934,0.006537270602192047,0.3129234485845223,0.14190105334966863,0.25291562102545545
clustering,edge_uniform,0.2,0.021920426781107512,0.06811696768458167,2.1101881445783137,0.4720768608648348,2.163628425756724,0.0013589136927481934,0.0039586796531615575,0.1379686464881066,0.06586536397409203,0.12826475650243777
clustering,edge_uniform,0.3,0.021920426781107512,0.05404716736150135,1.4667952590622162,0.23682070765288113,1.4861125255703664,0.0013589136927481934,0.003357821406222431,0.09133553514605691,0.02694007002625286,0.08871512558620843
clustering,random_node,0.05,0.021920426781107512,0.007419323911382734,-0.6559485807635259,2.191383134633043,2.486538331026217,0.0013589136927481934,0.006320227237920725,0.28947366817976555,1.8043180904380858,1.4667322235749318
clustering,random_node,0.1,0.021920426781107512,0.013023998025429867,-0.41137728798141815,1.631691148240677,1.733481317451897,0.0013589136927481934,0.00803069462657008,0.34054704020880344,0.7139717833795325,0.6396016275824172
clustering,random_node,0.2,0.021920426781107512,0.017552848923192237,-0.1999812819890087,0.7813343828862191,0.8125471057459507,0.0013589136927481934,0.0025543176266768363,0.0984896043672558,0.06398057213305466,0.03997037329617551
clustering,random_node,0.3,0.021920426781107512,0.01885506482512072,-0.13854762142709012,0.5313252317859358,0.5511593486242775,0.0013589136927481934,0.0011836038755301326,0.05409484680744381,0.025825478363884293,0.027383480116218776
clustering,snowball,0.05,0.021920426781107512,0.09815438816011335,3.4905455847667843,2.42444057947419,4.259416570752903,0.0013589136927481934,0.005610175167500334,0.361013330305131,0.24970967095468802,0.302777796148979
