metric,sampler,frac,theta,mean_sampled,bias_rel,var_rel,nd
avg_path,degree_weighted,0.2,3.4401032540675844,3.5611465616542715,0.03518594165963582,0.04023423343263557,0.05344945304104715
modularity,degree_weighted,0.2,0.3886037683834944,0.5127295232926222,0.3194138749904231,0.07080902850262955,0.3271683695803796
clustering,degree_weighted,0.3,0.02240276577355229,0.05888647616405015,1.6284633020742871,0.20383781458339725,1.641171100420924
assortativity,degree_weighted,0.3,-0.06601773600797392,-0.04354945816101893,0.3403318391954856,0.3336879801380944,0.47662713818961583
avg_path,degree_weighted,0.3,3.4401032540675844,3.5221732933875876,0.023856846554276192,0.02134311581040185,0.03201058762363642
modularity,degree_weighted,0.3,0.3886037683834944,0.4743656590128268,0.22069181236782534,0.03677778525946958,0.22373529344917195
clustering,edge_uniform,0.05,0.02240276577355229,0.09090343174791689,3.0575514253603666,2.558018686328063,3.9864872153722954
assortativity,edge_uniform,0.05,-0.06601773600797392,0.12580753481049267,2.9056186533970814,1.886290074612492,3.4642040939515484
avg_path,edge_uniform,0.05,3.4401032540675844,3.601410387500857,0.04689018748270287,0.1990962714454789,0.20454343056098095
modularity,edge_uniform,0.05,0.3886037683834944,0.641568314647234,0.6509558472892994,0.25766597325242324,0.7000966139699921
clustering,edge_uniform,0.1,0.02240276577355229,0.08741130874948508,2.901679281644497,1.4636223758272422,3.249912785375495
assortativity,edge_uniform,0.1,-0.06601773600797392,0.0544623769063979,1.8249381948151797,1.007088414678144,2.084376762937599
avg_path,edge_uniform,0.1,3.4401032540675844,3.822549641824048,0.11117290625836658,0.1172770636200203,0.16159617797852105
modularity,edge_uniform,0.1,0.3886037683834944,0.5672410834390815,0.4596889425692764,0.1335785134807227,0.4787036068217777
clustering,edge_uniform,0.2,0.02240276577355229,0.07095236345612889,2.1670284439364003,0.5250817391016716,2.2297361076072324
assortativity,edge_uniform,0.2,-0.06601773600797392,0.021607554395904026,1.3272791286596934,0.5087591059100145,1.421444938512214
avg_path,edge_uniform,0.2,3.4401032540675844,3.6473866762164118,0.060254982651684205,0.044311319474333595,0.07479409046115354
modularity,edge_uniform,0.2,0.3886037683834944,0.5002807228336582,0.28737926946885906,0.0652706648230715,0.29469832745860786
clustering,edge_uniform,0.3,0.02240276577355229,0.05735711155062563,1.5601995722673125,0.20432831149983366,1.5735224066353417
assortativity,edge_uniform,0.3,-0.06601773600797392,0.0031289530326268997,1.0473797776475016,0.3425451862963558,1.1019716889647098
avg_path,edge_uniform,0.3,3.4401032540675844,3.526483087037627,0.025109655577416602,0.021050065084447525,0.03276583652641826
modularity,edge_uniform,0.3,0.3886037683834944,0.46058117527270914,0.185220081546153,0.031425666100014675,0.18786711020770286
