metric,sampler,frac,theta,mean_sampled,bias_rel,var_rel,nd,graph_type,graph_id,graph_seed
assortativity,edge_uniform,0.1,-0.07143834233106418,0.02009788526650775,1.2813139736557873,1.0293271292897248,1.643557068731539,BA,2,3002
avg_path,edge_uniform,0.1,3.4110700876095117,3.7354970360978847,0.09510999335863515,0.09944707969441027,0.13760680396123592,BA,2,3002
modularity,edge_uniform,0.1,0.39003899154101684,0.5568557434489059,0.42769140479367096,0.12763889697966235,0.4463312959636245,BA,2,3002
clustering,edge_uniform,0.2,0.02276116983334414,0.07744180383597565,2.4022592926325608,0.45399262861259526,2.4447819976173877,BA,2,3002
assortativity,edge_uniform,0.2,-0.07143834233106418,-0.010268392151428954,0.8562501862931696,0.4737092215289102,0.9785524043650468,BA,2,3002
avg_path,edge_uniform,0.2,3.4110700876095117,3.6480162083095835,0.06946384716541464,0.04425773547681287,0.08236487851357291,BA,2,3002
modularity,edge_uniform,0.2,0.39003899154101684,0.49939184902017375,0.28036319313594615,0.0665247761822033,0.2881476460279974,BA,2,3002
clustering,edge_uniform,0.3,0.02276116983334414,0.060712560956367484,1.6673011141243932,0.222705118295539,1.6821089664095703,BA,2,3002
assortativity,edge_uniform,0.3,-0.07143834233106418,-0.03312195517091853,0.5363485428320415,0.3214072946790885,0.6252778650096169,BA,2,3002
avg_path,edge_uniform,0.3,3.4110700876095117,3.51223693010364,0.029658379991437334,0.025915385401664034,0.03938561544819722,BA,2,3002
modularity,edge_uniform,0.3,0.39003899154101684,0.46020065290906786,0.179883250153011,0.03686089636007252,0.18362110272536414,BA,2,3002
clustering,random_node,0.05,0.01923839746132487,0.0020543478260869564,-0.8931698443145827,0.7786204478864878,1.1849059762951195,BA,3,3003
assortativity,random_node,0.05,-0.1021071265395568,-0.3411202061226606,-2.3407841048822875,2.687749609293209,3.564164444568372,BA,3,3003
avg_path,random_node,0.05,3.404020650813517,1.489506172839506,-0.5624272329514904,0.13433543106587262,0.5782476981407915,BA,3,3003
modularity,random_node,0.05,0.4001598074194653,0.6217858377621864,0.5538424209305524,0.4528216454687639,0.7153942058943824,BA,3,3003
clustering,random_node,0.1,0.01923839746132487,0.010769655896250094,-0.44017706802402107,1.8476293790211205,1.8993394044867795,BA,3,3003
assortativity,random_node,0.1,-0.1021071265395568,-0.1908506011492017,-0.8691127495642139,1.4191287918795281,1.6641164320432982,BA,3,3003
avg_path,random_node,0.1,3.404020650813517,2.5064311320381396,-0.26368502049946274,0.2140384032943768,0.3396207121490213,BA,3,3003
modularity,random_node,0.1,0.4001598074194653,0.7912320013374051,0.9772875970534557,0.17824369264365145,0.9934092114137869,BA,3,3003
clustering,random_node,0.2,0.01923839746132487,0.014156737322671413,-0.2641278215114915,0.8407599971281666,0.8812723068764621,BA,3,3003
assortativity,random_node,0.2,-0.1021071265395568,-0.13286908173279813,-0.3012684321587677,0.729004767415203,0.7888032829099384,BA,3,3003
avg_path,random_node,0.2,3.404020650813517,4.962798852123112,0.4579225284707185,0.27299686055325995,0.5331231827194838,BA,3,3003
modularity,random_node,0.2,0.4001598074194653,0.7962401779612681,0.9898030071860957,0.1441970107665735,1.0002513538849391,BA,3,3003
clustering,random_node,0.3,0.01923839746132487,0.017687282234651557,-0.08062181935746031,0.4947652052008998,0.5012908198181925,BA,3,3003
assortativity,random_node,0.3,-0.1021071265395568,-0.12802867813620034,-0.2538637469428205,0.43757963130354766,0.5058880664174606,BA,3,3003
avg_path,random_node,0.3,3.404020650813517,5.2425462593023155,0.5401039702698174,0.1854321801815969,0.5710493780297112,BA,3,3003
modularity,random_node,0.3,0.4001598074194653,0.7337297698004456,0.8335897873959415,0.1244857355359917,0.8428336917819244,BA,3,3003
clustering,snowball,0.05,0.01923839746132487,0.08135898799242319,3.228822038526592,2.152403015985577,3.880480704719304,BA,3,3003
assortativity,snowball,0.05,-0.1021071265395568,-0.423111683731476,-3.143770903166671,1.002270980824899,3.299673106627548,BA,3,3003
avg_path,snowball,0.05,3.404020650813517,3.181095797567934,-0.06548867078806823,0.12269453165771123,0.13907808634106628,BA,3,3003
modularity,snowball,0.05,0.4001598074194653,0.48505760806573933,0.21215920967812482,0.17707100812384297,0.27634339537836,BA,3,3003
clustering,snowball,0.1,0.01923839746132487,0.05844599510673249,2.037880745705416,1.0375495944044875,2.2868028105995015,BA,3,3003
assortativity,snowball,0.1,-0.1021071265395568,-0.37248080964610125,-2.647915423282215,0.5994682536417825,2.714925095832325,BA,3,3003
avg_path,snowball,0.1,3.404020650813517,2.9956134747774983,-0.11997784324856295,0.09013648358843335,0.15006421473577455,BA,3,3003
modularity,snowball,0.1,0.4001598074194653,0.469489908566135,0.17325560090145212,0.10653434824369444,0.20338896380932772,BA,3,3003
clustering,snowball,0.2,0.01923839746132487,0.04519406580929199,1.3490894608390585,0.3139958510846509,1.3851482837030105,BA,3,3003
assortativity,snowball,0.2,-0.1021071265395568,-0.31084664022073566,-2.0442987326803315,0.4825080766504601,2.1004693171935016,BA,3,3003
avg_path,snowball,0.2,3.404020650813517,2.9962955974842767,-0.11977745594884781,0.048355171657792025,0.12916989424642536,BA,3,3003
modularity,snowball,0.2,0.4001598074194653,0.4483513091726277,0.12043033915274493,0.049069581552238194,0.1300434174503151,BA,3,3003
clustering,snowball,0.3,0.01923839746132487,0.03720082617948378,0.9336274046142593,0.16890547825350707,0.9487830053446382,BA,3,3003
assortativity,snowball,0.3,-0.1021071265395568,-0.26660404175123703,-1.611007084220216,0.2774847218571015,1.6347298236319772,BA,3,3003
avg_path,snowball,0.3,3.404020650813517,3.0656035564853563,-0.09941684543847813,0.037263717502608484,0.10617105914067382,BA,3,3003
modularity,snowball,0.3,0.4001598074194653,0.4384442420708763,0.09567262445889578,0.030202215786429107,0.10032659123713379,BA,3,3003
clustering,degree_weighted,0.05,0.01923839746132487,0.07272423636861886,2.7800163188484186,3.524424797878037,4.488881919694609,BA,3,3003
assortativity,degree_weighted,0.05,-0.1021071265395568,-0.22781891378460103,-1.231163390274753,1.4461858150705744,1.8992674127842466,BA,3,3003
avg_path,degree_weighted,0.05,3.404020650813517,2.975035669262869,-0.12602298855770375,0.1798577661243573,0.21961468457336622,BA,3,3003
modularity,degree_weighted,0.05,0.4001598074194653,0.5667739250829928,0.4163679065373229,0.23138551500741453,0.4763417787151567,BA,3,3003
clustering,degree_weighted,0.1,0.01923839746132487,0.0752028640251756,2.908847154717333,1.5401591678635094,3.2914255318723438,BA,3,3003
assortativity,degree_weighted,0.1,-0.1021071265395568,-0.15443593915065937,-0.5124843083946932,0.8125358519703001,0.9606532553881699,BA,3,3003
avg_path,degree_weighted,0.1,3.404020650813517,3.5877235533309926,0.053966431874360454,0.11221762496100084,0.12451976197029059,BA,3,3003
modularity,degree_weighted,0.1,0.4001598074194653,0.5663375679796814,0.4152774521619296,0.13415484657671797,0.43640908003171347,BA,3,3003
clustering,degree_weighted,0.2,0.01923839746132487,0.060863287339710956,2.163523569907043,0.4936674045598101,2.219130853254971,BA,3,3003
assortativity,degree_weighted,0.2,-0.1021071265395568,-0.12756561822784268,-0.24932875130583498,0.3543140590490307,0.4332473642938026,BA,3,3003
avg_path,degree_weighted,0.2,3.404020650813517,3.5423998236089345,0.04065167234243258,0.04274582030548164,0.058989521254414534,BA,3,3003
modularity,degree_weighted,0.2,0.4001598074194653,0.5065970832922422,0.2659862582724272,0.06417790284276897,0.2736192478665605,BA,3,3003
clustering,degree_weighted,0.3,0.01923839746132487,0.0474481678388286,1.4662502001017,0.23107703323934337,1.48434707686207,BA,3,3003
assortativity,degree_weighted,0.3,-0.1021071265395568,-0.11532456838805674,-0.1294455426462016,0.22568898473340102,0.2601762217055258,BA,3,3003
avg_path,degree_weighted,0.3,3.404020650813517,3.4941955629498223,0.02649069876355067,0.02322766178328146,0.035231823581808805,BA,3,3003
modularity,degree_weighted,0.3,0.4001598074194653,0.4714126492408436,0.17806052092125083,0.041732932122637754,0.18288572042207094,BA,3,3003
clustering,edge_uniform,0.05,0.01923839746132487,0.06076942586038163,2.15864496185718,2.5617397281064727,3.3499639559121244,BA,3,3003
assortativity,edge_uniform,0.05,-0.1021071265395568,0.10348936926206843,2.013517462020782,1.364649549999805,2.4323899695931326,BA,3,3003
avg_path,edge_uniform,0.05,3.404020650813517,3.7159955144203205,0.09164890697221202,0.16492686247979854,0.18868066174526618,BA,3,3003
modularity,edge_uniform,0.05,0.4001598074194653,0.6576562714109105,0.6434824680907012,0.22296690082786377,0.6810168321010008,BA,3,3003
clustering,edge_uniform,0.1,0.01923839746132487,0.07057682897114906,2.668401212305372,1.3469487729973408,2.989086152474,BA,3,3003
assortativity,edge_uniform,0.1,-0.1021071265395568,0.008946283074472983,1.0876059857097424,0.5805407167552566,1.232848045771403,BA,3,3003
avg_path,edge_uniform,0.1,3.404020650813517,3.88380669562913,0.14094682526503632,0.09965460518984495,0.17261821424124557,BA,3,3003
modularity,edge_uniform,0.1,0.4001598074194653,0.5803708566185053,0.4503465753209941,0.1253343570799755,0.4674620187437677,BA,3,3003
clustering,edge_uniform,0.2,0.01923839746132487,0.057891075543965324,2.0090378693168667,0.423452215768107,2.0531792272931693,BA,3,3003
assortativity,edge_uniform,0.2,-0.1021071265395568,-0.03896111125275708,0.6184230132000011,0.32788493128086355,0.699968250291701,BA,3,3003
avg_path,edge_uniform,0.2,3.404020650813517,3.607880975203693,0.05988808101189845,0.03949601926439359,0.07173923462806849,BA,3,3003
modularity,edge_uniform,0.2,0.4001598074194653,0.497669133976155,0.24367535437941168,0.056319898802524374,0.2500991989852395,BA,3,3003
clustering,edge_uniform,0.3,0.01923839746132487,0.04595475766487733,1.3886276977882397,0.25806875603939433,1.4124044625773409,BA,3,3003
assortativity,edge_uniform,0.3,-0.1021071265395568,-0.0658609364398019,0.3549785049254927,0.21069231671310865,0.4127965495023849,BA,3,3003
avg_path,edge_uniform,0.3,3.404020650813517,3.499019278216337,0.027907762390440977,0.026720880265962157,0.038637399547966446,BA,3,3003
modularity,edge_uniform,0.3,0.4001598074194653,0.45979231348374683,0.14902135581152073,0.04151222411519911,0.15469527865741212,BA,3,3003
clustering,random_node,0.05,0.021792016446804865,0.007968253968253968,-0.6343207473042419,2.817858903653931,2.8883717924398766,BA,4,3004
assortativity,random_node,0.05,-0.05739561483126053,-0.297618802878336,-4.185319792,4.344719514216494,6.032701668284329,BA,4,3004
avg_path,random_node,0.05,3.4323498122653318,1.5496411921411921,-0.548518704264254,0.14074108136240057,0.5662868715684604,BA,4,3004
modularity,random_node,0.05,0.38990482747498156,0.6082545479016975,0.5600063016260676,0.4223080041206712,0.7013922641470256,BA,4,3004
clustering,random_node,0.1,0.021792016446804865,0.011124336594273598,-0.48949992207688553,1.7490161732673195,1.8162234851647348,BA,4,3004
assortativity,random_node,0.1,-0.05739561483126053,-0.16555415027521544,-1.8844061755545796,2.7415180536897856,3.3266962399917532,BA,4,3004
avg_path,random_node,0.1,3.4323498122653318,2.584543929361223,-0.24700443785481285,0.23550335797990204,0.34128144388434306,BA,4,3004
modularity,random_node,0.1,0.38990482747498156,0.785782857678123,1.015317038903562,0.19943734399318797,1.0347192583821732,BA,4,3004
clustering,random_node,0.2,0.021792016446804865,0.018861834268411162,-0.13445509874899877,0.7663063251999693,0.7780125690636908,BA,4,3004
assortativity,random_node,0.2,-0.05739561483126053,-0.1212460516421562,-1.1124425542971241,1.1272668460167867,1.5837483950235731,BA,4,3004
avg_path,random_node,0.2,3.4323498122653318,5.035707185165981,0.4671309725017421,0.2926295356726304,0.5512199113043746,BA,4,3004
modularity,random_node,0.2,0.38990482747498156,0.7880227024094271,1.0210616176543064,0.15761146694213593,1.033154490653978,BA,4,3004
clustering,random_node,0.3,0.021792016446804865,0.019868198714385374,-0.08827679899730205,0.5916270400804872,0.5981766861016973,BA,4,3004
assortativity,random_node,0.3,-0.05739561483126053,-0.09917083800624313,-0.7278342685852984,0.7959155235195692,1.078528740046609,BA,4,3004
avg_path,random_node,0.3,3.4323498122653318,5.302016232575428,0.5447189178999239,0.2909094077162201,0.6175329813182985,BA,4,3004
modularity,random_node,0.3,0.38990482747498156,0.7249564440611141,0.8593142060889852,0.1412327811804673,0.8708430416936871,BA,4,3004
clustering,snowball,0.05,0.021792016446804865,0.08588966597900749,2.9412013563455166,2.5879332810986693,3.9176605373598705,BA,4,3004
assortativity,snowball,0.05,-0.05739561483126053,-0.4392375636135025,-6.652691102163665,2.0431943237040007,6.959377985511626,BA,4,3004
avg_path,snowball,0.05,3.4323498122653318,3.2046331802579617,-0.06634421842710138,0.12595321874996943,0.14235788925163434,BA,4,3004
modularity,snowball,0.05,0.38990482747498156,0.49245234561490103,0.2630058617077209,0.20566231884591699,0.3338698439297872,BA,4,3004
clustering,snowball,0.1,0.021792016446804865,0.07735830276262115,2.5497290130280708,1.2369784742140821,2.833943151431605,BA,4,3004
assortativity,snowball,0.1,-0.05739561483126053,-0.37940161413481055,-5.610191476452239,1.3841585612567577,5.7784204870498765,BA,4,3004
avg_path,snowball,0.1,3.4323498122653318,3.093151898734177,-0.09882378931636246,0.09270305963376145,0.13549907232267505,BA,4,3004
modularity,snowball,0.1,0.38990482747498156,0.47105117204988417,0.20811780398462856,0.1373310311943598,0.24934480637119855,BA,4,3004
clustering,snowball,0.2,0.021792016446804865,0.053660605609937614,1.4623303405896841,0.35219698864483595,1.5041451870812315,BA,4,3004
assortativity,snowball,0.2,-0.05739561483126053,-0.2827651765201687,-3.9265305515223994,0.9498472737491752,4.039783659490634,BA,4,3004
avg_path,snowball,0.2,3.4323498122653318,2.9778742138364778,-0.13240942528508695,0.06285671241649,0.14657155999762148,BA,4,3004
modularity,snowball,0.2,0.38990482747498156,0.43976865322464254,0.12788684404277212,0.06312657063060018,0.14261840273541304,BA,4,3004
clustering,snowball,0.3,0.021792016446804865,0.04394919445038807,1.0167100115611454,0.1721384556522708,1.031179371168282,BA,4,3004
assortativity,snowball,0.3,-0.05739561483126053,-0.2250208912719323,-2.9204732183852804,0.5938509917423113,2.980238718575914,BA,4,3004
avg_path,snowball,0.3,3.4323498122653318,3.0325149930264983,-0.11649007957171627,0.045003065078255626,0.12488080118682175,BA,4,3004
modularity,snowball,0.3,0.38990482747498156,0.4291204925545049,0.10057727357778368,0.036879439863788985,0.10712553871513165,BA,4,3004
clustering,degree_weighted,0.05,0.021792016446804865,0.08739829217749889,3.0104265690265537,3.664727959928117,4.742667935643385,BA,4,3004
assortativity,degree_weighted,0.05,-0.05739561483126053,-0.21825436494786618,-2.8025825319056175,3.3862199006408797,4.395560722324153,BA,4,3004
avg_path,degree_weighted,0.05,3.4323498122653318,2.7677766987194796,-0.19362039310522508,0.1489496543718975,0.24428437560296323,BA,4,3004
modularity,degree_weighted,0.05,0.38990482747498156,0.5412287821048903,0.3881038547432804,0.23624951322399,0.45435496537967485,BA,4,3004
clustering,degree_weighted,0.1,0.021792016446804865,0.09446961689974867,3.334903207655738,1.3971924728907346,3.6157608066263256,BA,4,3004
assortativity,degree_weighted,0.1,-0.05739561483126053,-0.1293845020965331,-1.2542357676826699,1.2357696387238164,1.760748125350735,BA,4,3004
avg_path,degree_weighted,0.1,3.4323498122653318,3.421006843484422,-0.0033047230313335554,0.08206750397256254,0.08213401489395485,BA,4,3004
modularity,degree_weighted,0.1,0.38990482747498156,0.5383179009507818,0.38063825420850683,0.13120412324507286,0.4026164459177098,BA,4,3004
clustering,degree_weighted,0.2,0.021792016446804865,0.06977155525426568,2.201601550871826,0.49549944705391524,2.256672127454931,BA,4,3004
assortativity,degree_weighted,0.2,-0.05739561483126053,-0.07598133508230208,-0.3238121325740453,0.6001205597115683,0.6819083394347639,BA,4,3004
avg_path,degree_weighted,0.2,3.4323498122653318,3.567246949457905,0.03930167531550833,0.05299230598766986,0.0659757999307054,BA,4,3004
modularity,degree_weighted,0.2,0.38990482747498156,0.5074715375522446,0.3015259116249212,0.0763108563093444,0.31103250983121555,BA,4,3004
clustering,degree_weighted,0.3,0.021792016446804865,0.05429299293465736,1.491348229245133,0.2160241206257956,1.506912725264719,BA,4,3004
assortativity,degree_weighted,0.3,-0.05739561483126053,-0.06840585853809808,-0.19182740548735155,0.349501960436751,0.3986845543097213,BA,4,3004
avg_path,degree_weighted,0.3,3.4323498122653318,3.5341399124657067,0.029656088718155837,0.02494680696815695,0.03875340986243164,BA,4,3004
modularity,degree_weighted,0.3,0.38990482747498156,0.4749389545472919,0.21808888475196384,0.039770833821573544,0.2216855450299333,BA,4,3004
